,city,state,shape,year,month,day,season,Credible,military_base_dist,airport_dist,temp,rain,vis,thunder,fog,tornado,snow,movies_released
14,2607,4,3,4,9,9,0,1,3574.2997569671006,3.8756071717640688,0.12849505220407198,0,0.0642725003381733,0,0,0,0,21
15,2150,4,0,4,9,9,0,0,3516.8660422447497,1.295565256045767,0.526939561907409,0,0.0642725003381733,0,0,0,0,21
16,4798,3,16,4,9,9,0,0,3444.9888313844845,0.7175736850823705,1.03776585639887,0,0.0642725003381733,0,0,0,0,21
17,6400,45,16,4,9,9,0,0,6229.773613876397,1.0316902766258431,0.189794207543047,0,-0.7719001566491541,0,0,0,0,21
18,5525,47,15,5,9,9,0,0,3869.6855248386187,0.2196561747369401,-0.4334138717365321,0,0.0642725003381733,0,0,0,0,16
19,4956,37,3,5,9,9,0,0,3832.0730084507295,0.3640500360608081,-0.4947130270755071,0,0.0642725003381733,0,0,0,0,16
20,61,4,13,6,9,9,0,1,3276.5390049069647,2.1512601180591617,0.6393213466955301,0,0.0642725003381733,0,0,0,0,18
21,2880,15,15,6,9,9,0,0,5572.146537083062,0.8280250301517812,0.6393213466955301,0,0.0642725003381733,0,0,0,0,18
22,2373,13,11,6,9,9,0,1,4271.1256900617545,18.90708208034276,-0.69904354487209,0,-0.7719001566491541,0,0,0,0,18
23,6113,22,13,6,9,9,0,1,5874.146170973377,3.016077346468997,0.220443785212534,0,-0.7719001566491541,0,0,0,0,18
24,1353,40,10,6,9,9,0,1,5879.312023345454,2.1572960467321707,0.526939561907409,0,-1.05062437564493,0,0,0,0,18
25,51,32,11,6,9,9,0,0,3875.748483551639,1.4348254115351948,0.322609044110826,0,0.0642725003381733,1,0,0,0,18
26,2274,48,15,6,9,9,0,1,5701.975432680355,3.7863635394039306,-0.0860519914823407,0,0.0642725003381733,0,0,0,0,18
27,3585,31,16,7,9,9,0,1,6547.266785492379,2.4104212974199783,0.0161132674159509,0,-2.04357940581738,0,0,0,0,18
28,6122,15,15,7,9,9,0,1,5463.103155652641,2.183316054036604,-1.00553932156697,0,0.0642725003381733,0,0,0,0,18
29,2880,15,13,7,9,9,0,0,5572.146537083062,0.8280250301517812,-0.321032086948412,0,0.0642725003381733,0,0,0,0,18
30,4004,49,3,7,9,9,0,1,6031.024731290389,2.6880591230085344,-0.0451858879230241,0,0.0642725003381733,0,0,0,0,18
31,5222,14,15,7,9,9,0,1,5373.183963398714,3.8838432807627417,0.526939561907409,0,0.0642725003381733,0,0,0,0,18
32,5189,34,3,7,9,9,0,1,6179.777523845627,13.157874201261256,-0.8012088037703821,0,0.0642725003381733,0,0,0,0,18
33,3633,35,11,7,9,9,0,0,5894.837022864034,1.2414360705680925,-0.719476596651749,0,0.0642725003381733,0,0,0,0,18
34,1222,24,11,7,9,9,0,0,5082.386106864982,1.558316011803946,-0.0962685173721699,0,0.0642725003381733,0,0,0,0,18
35,2274,48,15,7,9,9,0,1,5701.975432680355,3.7863635394039306,-1.51636561605842,0,0.0642725003381733,0,0,0,0,18
36,4367,9,13,8,9,9,0,1,5471.724474141169,2.1827976618903207,1.37491121076323,0,0.0642725003381733,0,0,0,0,18
37,3487,38,16,8,9,9,0,1,6174.588937783088,5.42216166696362,-0.321032086948412,0,-1.62549307732372,0,0,0,0,18
38,1705,47,11,8,9,9,0,1,4021.425785035931,2.3434388343397994,-0.4334138717365321,0,0.0642725003381733,0,0,0,0,18
39,2643,27,11,8,9,9,0,0,5626.4557774334535,0.5479381890864594,0.302175992331167,0,0.0642725003381733,0,0,0,0,18
40,646,23,6,8,9,9,0,1,5506.253539545308,6.558038998899241,-0.780775751990724,0,0.0642725003381733,0,0,0,0,18
41,5393,4,16,9,9,9,0,0,3581.0531253391664,1.1724050121604417,-0.321032086948412,0,0.0642725003381733,0,0,0,0,18
42,5468,42,11,9,9,9,0,1,5154.997820401295,2.8207940661272617,1.15014764118699,0,0.0642725003381733,0,0,0,0,18
43,6539,45,16,9,9,9,0,1,6042.5073512857325,8.70840763180554,0.9356005975005748,0,0.0642725003381733,0,0,0,0,18
44,6536,10,11,9,9,9,0,0,5455.788894131905,1.3602209749987435,0.424774303009117,0,-0.7719001566491541,0,0,0,0,18
45,6797,43,6,9,9,9,0,1,4030.209176418259,4.0241875706970935,-0.269949457499266,0,0.0642725003381733,0,0,0,0,18
46,3333,37,11,10,9,9,0,1,3812.422101636712,1.6605651976942073,-0.188217250380632,0,0.0642725003381733,0,0,0,0,24
